date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-08-28,0.138404,0.026412,0.07232,-0.110625,-0.014043,0.085001,0.012293,0.103073,0.208161,0.101794
2020-08-31,0.140883,0.032429,-0.007903,0.08677,0.179831,0.319384,0.0,0.286625,0.0998,0.039043
2020-09-01,0.119537,0.073382,0.03656,0.137547,0.104298,0.177695,0.0,0.063947,0.015601,0.002246
2020-09-02,0.247158,0.2,-0.002636,0.169228,-0.164193,0.220706,0.0,0.088393,0.127158,0.35608
2020-09-03,0.128865,0.204017,0.094769,0.134917,0.027291,0.080023,-0.024627,0.076951,0.089022,0.345367
2020-09-04,0.126248,0.052898,0.018142,-0.06926,0.024988,0.02632,0.0296,0.119182,0.22384,0.233564
2020-09-08,0.144317,0.106807,-0.10191,0.096395,0.047805,-0.039342,0.05,0.131704,0.122794,-0.160069
2020-09-09,0.184061,0.122573,-0.102274,-0.107182,0.133745,0.081279,0.043528,-0.010325,0.077473,-0.041668
2020-09-10,0.138217,0.171148,-0.007639,0.001921,0.230379,0.05369,0.103713,-0.008989,0.09524,0.046545
2020-09-11,0.068584,0.141431,0.132077,-0.055546,-0.056207,0.073024,-0.0019,-0.053039,0.114076,0.04052
2020-09-14,0.028229,0.065809,0.058025,-0.018545,0.120288,0.06375,0.021075,0.099973,0.06121,0.014513
2020-09-15,0.036159,0.136534,-0.031003,0.127588,0.163487,0.128753,0.018347,0.088372,-0.108858,-0.012917
2020-09-16,0.054943,0.136967,0.137503,-0.01954,-0.048115,0.271071,0.0,0.048268,0.207746,0.023902
2020-09-17,0.156656,0.262681,0.198929,0.07329,0.081785,0.159771,0.097435,-0.12248,0.188942,0.020808
2020-09-18,0.032582,0.002136,0.140122,0.08238,-0.02116,0.207687,0.084822,0.08808,0.070158,-0.018024
2020-09-21,0.08297,0.01212,-0.011902,-0.041182,-0.210047,0.018131,0.18928,0.076678,0.063636,0.095789
2020-09-22,0.18247,0.184457,0.208439,0.060492,0.355758,0.137903,0.164778,0.0,0.087574,0.07442
2020-09-23,0.144845,0.094929,0.178569,0.134876,0.227302,0.167273,0.09959,0.0,0.07543,-0.011892
2020-09-24,0.124005,0.065292,0.211864,0.142622,-0.019594,-0.023327,0.190248,0.0,0.123917,0.0
2020-09-25,-0.047192,0.022583,0.010664,0.112712,0.112316,0.10587,0.134129,0.0,-0.030585,0.0
2020-09-28,0.154226,0.069007,0.079759,0.227493,0.086346,0.056624,-0.01996,0.04046,0.19357,0.065564
2020-09-29,0.098251,0.210983,0.25221,-0.05424,0.230476,0.113,-0.017376,0.0,0.175992,0.059132
2020-09-30,0.17758,0.225167,0.017361,-0.004069,0.224423,0.20258,-0.030458,0.07636,0.080161,0.213744
2020-10-01,0.053305,0.157793,0.064871,0.177948,0.169704,0.361164,-0.026516,0.066475,0.036547,0.262153
2020-10-02,-0.12972,0.139703,0.222225,0.262991,-0.001936,0.234974,-0.023083,0.05787,0.066395,0.381221
2020-10-05,0.077888,0.124368,0.129213,0.185719,0.089132,0.167444,0.037765,0.11438,0.103253,0.400726
2020-10-06,0.093161,0.173134,0.013354,0.253784,0.121303,0.028444,0.032876,0.187654,-0.041666,0.342187
2020-10-07,0.211088,0.11064,0.051675,0.170845,0.207623,0.046252,-0.015229,0.163362,0.26556,0.253364
2020-10-08,-0.035337,0.107408,0.160399,0.172139,0.050617,0.095585,-0.013258,0.142215,0.14664,0.106219
2020-10-09,0.128197,0.046356,0.139636,0.26195,-0.080936,0.195104,-0.011542,0.123805,0.153522,0.173389
2020-10-12,-0.008617,0.271884,0.178728,0.212545,0.032321,0.153326,0.04046,0.05719,0.146464,0.306402
2020-10-13,-0.059256,-0.084316,-0.09546,0.061276,-0.065884,0.198123,0.035222,0.049787,0.011006,0.091742
2020-10-14,0.228082,0.040745,0.02732,0.13283,0.059347,0.178914,0.132511,0.096012,0.040427,0.245174
2020-10-15,0.277618,0.116735,0.26669,0.16293,0.182273,0.146973,0.133227,0.083583,0.145797,0.280249
2020-10-16,0.154979,0.231473,0.078558,0.56552,0.053393,0.166348,0.227221,0.072763,0.109528,0.243971
2020-10-19,0.274837,0.24128,0.023919,0.179707,0.170962,0.214345,0.430112,0.063344,0.020803,0.204916
2020-10-20,0.187142,0.260603,0.0743,0.248553,0.298428,0.121101,0.374434,0.175631,0.032956,0.078051
2020-10-21,0.171463,0.248122,-0.030615,0.100775,0.275373,0.10532,0.253821,0.182496,0.14243,0.110873
2020-10-22,0.068402,0.016975,0.007111,0.186549,0.140589,0.027983,0.177791,-0.009703,0.220848,0.125103
2020-10-23,0.182032,0.285165,0.057066,0.352935,0.01877,0.32852,0.129216,-0.008447,0.153678,0.075718
2020-10-26,0.099449,0.05902,0.069804,0.066526,0.064518,0.226826,0.067063,0.069128,0.02977,0.020574
2020-10-27,0.00639,0.065585,0.008177,0.009229,0.061437,-0.02129,0.058382,0.060179,0.147209,0.015683
2020-10-28,0.049939,0.136721,0.058989,0.031878,-0.008315,0.135257,0.050825,0.132929,0.067211,-7e-06
2020-10-29,0.17301,0.094525,-0.103395,0.10489,0.205045,-0.063477,0.055049,0.036049,0.12096,0.042974
2020-10-30,0.21392,0.173182,-0.009761,0.085532,0.080728,0.059577,0.047923,0.031382,0.05574,0.081955
2020-11-02,0.064138,0.092037,-0.081841,0.09403,0.116662,0.156305,0.136989,0.02732,0.031912,0.012837
2020-11-03,-0.069559,0.149619,0.015278,0.080054,0.148743,0.162959,0.175553,0.023783,0.07976,0.019571
2020-11-04,0.082161,0.103509,0.139901,0.160762,0.188358,0.181687,0.144415,0.0,0.085587,-0.100283
2020-11-05,-0.031197,0.158409,0.048587,0.12442,0.04715,0.092157,0.125721,0.026793,0.09168,0.178404
2020-11-06,0.096711,0.055109,0.048044,0.1398,0.0,-0.009406,0.127386,0.09966,0.12655,0.1498
2020-11-09,0.205709,0.035877,0.169047,0.046666,0.209353,0.214273,0.110896,0.196297,-0.015753,0.084355
2020-11-10,0.026925,0.097805,0.026431,0.1362,0.212596,0.177339,-0.030815,0.170886,-0.022237,0.122912
2020-11-11,-0.03368,0.088983,0.10211,0.147834,0.112597,0.03929,0.05759,0.16514,0.116572,0.077164
2020-11-12,0.13139,0.118943,0.342467,0.169284,0.010457,0.034133,0.04404,0.143763,0.184867,0.241394
2020-11-13,0.189699,0.184833,0.274321,0.114513,0.1716,0.09176,0.186719,0.13494,0.069903,0.210146
2020-11-16,0.125346,0.18228,0.306008,0.124984,0.029619,0.17241,0.181546,0.091704,0.286207,0.006982
2020-11-17,0.115872,0.266646,0.205124,-0.015465,-0.021602,0.11739,0.160132,0.079833,0.263592,0.006079
